Rank,Park Name,Park Total Deaths,Park Visits (2007-2018),Deaths per 10 Million Visits,State,State Deaths,Stae Population,Stae avg pop
45,Great Smoky Mountains National Park,82,"120,305,421",6.82,TN,98.0,77717675.0,7065243.181818183
29,Natchez Trace Parkway,104,"72,030,899",14.44,MS,41.0,35702640.0,3245694.545454545
30,Glacier National Park,37,"28,250,811",13.1,MT,25.0,12144869.0,1104079.0
40,Chattahoochee River National Recreation Area,33,"35,544,736",9.28,GA,91.0,119462080.0,10860189.090909092
41,Haleakala National Park,12,"13,338,396",9.0,HI,10.0,16653833.0,1513984.8181818181
48,Hawaii Volcanoes National Park,11,"18,242,187",6.03,HI,10.0,16653833.0,1513984.8181818181
42,Indiana Dunes National Lakeshore,19,"22,118,782",8.59,IN,40.0,78580974.0,7143724.909090909
43,Rock Creek Park,21,"26,360,244",7.97,DC,0.0,7654077.0,695825.1818181818
46,Cuyahoga Valley National Park,18,"28,181,547",6.39,OH,85.0,138911253.0,12628295.727272727
47,Ozark National Scenic Riverways,10,"16,030,792",6.24,MO,59.0,72318635.0,6574421.363636362
49,Sleeping Bear Dunes National Lakeshore,10,"16,745,401",5.97,MI,84.0,119107552.0,10827959.272727273
51,Gateway National Recreation Area,51,"94,508,303",5.4,NY,74.0,234395439.0,21308676.272727273
52,Acadia National Park,17,"31,795,162",5.35,ME,0.0,15966389.0,1451489.9090909092
56,Chesapeake & Ohio Canal National Historical Park,18,"51,351,603",3.51,MD,30.0,70578129.0,6416193.545454546
58,Cape Cod National Seashore,17,"53,034,104",3.21,MA,24.0,80005849.0,7273259.0
